archivo;caso;resultado;duracion_ms;alcance
tests/integracion/cobranza-acciones.test.ts;acciones seguras de Cobranza vendedor no puede registrar pagos;passed;11.496700000000033;"Local; función/componente/acción con dependencias simuladas. No prueba SQL ni navegador E2E."
tests/integracion/cobranza-acciones.test.ts;acciones seguras de Cobranza operador no puede registrar pagos;passed;0.9835000000000491;"Local; función/componente/acción con dependencias simuladas. No prueba SQL ni navegador E2E."
tests/integracion/cobranza-acciones.test.ts;acciones seguras de Cobranza vendedor no puede aplicar saldo a favor;passed;1.4554000000000542;"Local; función/componente/acción con dependencias simuladas. No prueba SQL ni navegador E2E."
tests/integracion/cobranza-acciones.test.ts;acciones seguras de Cobranza operador no puede aplicar saldo a favor;passed;0.6678000000000566;"Local; función/componente/acción con dependencias simuladas. No prueba SQL ni navegador E2E."
tests/integracion/cobranza-acciones.test.ts;acciones seguras de Cobranza contador registra un pago mediante la transacción de servicio y lo audita;passed;6.268299999999954;"Local; función/componente/acción con dependencias simuladas. No prueba SQL ni navegador E2E."
tests/integracion/cobranza-acciones.test.ts;acciones seguras de Cobranza contador aplica monedero mediante la transacción y lo audita;passed;1.802599999999984;"Local; función/componente/acción con dependencias simuladas. No prueba SQL ni navegador E2E."
tests/integracion/comentarios-acciones.test.ts;seguridad de acciones de comentarios rechaza crear un comentario cuando la entidad no es accesible;passed;13.05239999999992;"Local; función/componente/acción con dependencias simuladas. No prueba SQL ni navegador E2E."
tests/integracion/comentarios-acciones.test.ts;seguridad de acciones de comentarios sanitiza el contenido y limita las menciones a usuarios activos;passed;2.6959999999999127;"Local; función/componente/acción con dependencias simuladas. No prueba SQL ni navegador E2E."
tests/integracion/comentarios-acciones.test.ts;seguridad de acciones de comentarios impide eliminar un comentario ajeno sin permiso administrativo;passed;1.6820999999999913;"Local; función/componente/acción con dependencias simuladas. No prueba SQL ni navegador E2E."
tests/integracion/comentarios-acciones.test.ts;seguridad de acciones de comentarios permite al autor eliminar de forma lógica un comentario propio y audita;passed;1.0658000000000811;"Local; función/componente/acción con dependencias simuladas. No prueba SQL ni navegador E2E."
tests/integracion/comentarios-acciones.test.ts;seguridad de acciones de comentarios permite al administrador moderar un comentario ajeno;passed;0.7713999999999714;"Local; función/componente/acción con dependencias simuladas. No prueba SQL ni navegador E2E."
tests/integracion/comentarios-acciones.test.ts;seguridad de acciones de comentarios marca únicamente la notificación del usuario de sesión;passed;1.4021000000000186;"Local; función/componente/acción con dependencias simuladas. No prueba SQL ni navegador E2E."
tests/integracion/configuracion-acciones.test.ts;acciones protegidas de configuración vendedor no puede modificar el tipo de cambio;passed;12.42659999999978;"Local; función/componente/acción con dependencias simuladas. No prueba SQL ni navegador E2E."
tests/integracion/configuracion-acciones.test.ts;acciones protegidas de configuración contador no puede modificar el tipo de cambio;passed;1.0063000000000102;"Local; función/componente/acción con dependencias simuladas. No prueba SQL ni navegador E2E."
tests/integracion/configuracion-acciones.test.ts;acciones protegidas de configuración operador no puede modificar el tipo de cambio;passed;0.9779999999996107;"Local; función/componente/acción con dependencias simuladas. No prueba SQL ni navegador E2E."
tests/integracion/configuracion-acciones.test.ts;acciones protegidas de configuración un admin actualiza tipo de cambio y genera auditoría;passed;7.471900000000005;"Local; función/componente/acción con dependencias simuladas. No prueba SQL ni navegador E2E."
tests/integracion/configuracion-acciones.test.ts;acciones protegidas de configuración un gerente con permiso puede guardar empresa, tarifas, plantilla, cuenta y área;passed;21.75570000000016;"Local; función/componente/acción con dependencias simuladas. No prueba SQL ni navegador E2E."
tests/integracion/dashboard-acciones.test.ts;seguridad de métricas del dashboard vendedor nunca recibe finanzas globales ni margen;passed;12.269300000000044;"Local; función/componente/acción con dependencias simuladas. No prueba SQL ni navegador E2E."
tests/integracion/dashboard-acciones.test.ts;seguridad de métricas del dashboard admin recibe la totalidad de bloques autorizados por el servicio;passed;1.6315000000000737;"Local; función/componente/acción con dependencias simuladas. No prueba SQL ni navegador E2E."
tests/integracion/dashboard-acciones.test.ts;seguridad de métricas del dashboard operador recibe redirección a producción y no métricas financieras;passed;1.979600000000005;"Local; función/componente/acción con dependencias simuladas. No prueba SQL ni navegador E2E."
tests/integracion/gastos-acciones.test.ts;acciones seguras de Gastos operador no puede registrar gastos;passed;14.135099999999966;"Local; función/componente/acción con dependencias simuladas. No prueba SQL ni navegador E2E."
tests/integracion/gastos-acciones.test.ts;acciones seguras de Gastos vendedor no puede registrar gastos;passed;1.40949999999998;"Local; función/componente/acción con dependencias simuladas. No prueba SQL ni navegador E2E."
tests/integracion/gastos-acciones.test.ts;acciones seguras de Gastos contador registra un gasto mediante servicio y auditoría;passed;5.664899999999989;"Local; función/componente/acción con dependencias simuladas. No prueba SQL ni navegador E2E."
